0	2022-10-20 21:13:22+00:00	SmartEnergy101	ICYMI, our latest blog looks at 3 ways that you can become a smarter energy consumer! Read it here: #EnergyTips #SmartHome	Positive	0	0
1	2022-10-20 15:08:08+00:00	MacKayUSA	Tips to save on heating bill as energy costs rise #USEnergy #EnergyTips #EnergyTips #GeorgiaEnergy #EnergyLife [Video]	Positive	0	0
2	2022-10-19 13:26:24+00:00	uytrienviro	India now can produce solar energy cheaper than burning diesel. India also receives more solar energy than the entire energy consumption of the country!  #EnergySavingWeek #EnergyKnowHow #SaveThePlanet #SaveMoney #sustainability #energytips #saveenergy #energy #Temperatures	Positive	0	0
3	2022-10-19 02:17:35+00:00	MacKayUSA	NTD Business Full Broadcast (Oct. 18) #EnergyNews #Energy #Environment #MissouriEnergyNews #EnergyTips [Video]	Positive	0	0
4	2022-10-18 17:02:13+00:00	EcoActionArl	Looking for ways to save on your energy bill and decreasing your carbon footprint? Check out our energy tip . #energyconservation #energytips	Positive	0	0
5	2022-10-18 14:21:05+00:00	MacKayUSA	John Oliver of ‘Last Week Tonight’ tears apart rhetoric behind anti-trans legislation in Florida | Florida News | Orlando #EnergyNews #Energy #EnergyTips #EnergyTips [Video]	Positive	1	0
6	2022-10-17 16:05:12+00:00	achawaii	Turning on the ceiling fan is a great way to make it feel cooler! #energytips	Positive	0	0
7	2022-10-17 09:00:02+00:00	Kaltimber	#Winteriscoming, and you need to #saveelectricity, and money!  http . . . #Kaltimber #EnergyTips #electricitysavings #moneysavings #wintertips #environmentprotection #ElectricityPrices #saveenergy #savingelectricity #energy #energycrisis #energyefficiency	Positive	0	0
8	2022-10-17 07:08:50+00:00	uytrienviro	Did you know?  Cars burn more energy than most industries Almost 1/5th of the world’s energy is used for transport whereas most of us blindly blame industries for the same.  #EnergySavingWeek #EnergyKnowHow #SaveThePlanet #SaveMoney #sustainability #energytips #SaveEnergy	Positive	1	1
9	2022-10-14 18:03:31+00:00	EcoActionArl	Looking for ways to save on your energy bill and decreasing your carbon footprint? Check out our energy tip . #energyconservation #energytips	Positive	2	0
10	2022-10-14 12:02:37+00:00	HelloCSE	What are some low-cost ways to save energy this winter?  🌬️ draughtproofing 🪟 secondary glazing 🔥 understand your heating controls 💦 boiler jacket   More ideas here... #EnergySaving #EnergyTips #WarmThisWinter	Positive	1	0
11	2022-10-13 07:53:29+00:00	CommodityKites	Hurrah! Banknifty Booked profit of Rs. 2 lac Live Update By JOIN Us For Big Deal For CRUDE Oil  Call 9045769638, 9997679119 #naturalgastips #crudeoiltips #goldtips #energytips #bulliontips #coppertips #mcxtipsproviiderinindia #mcxadvisoryservices #tips	Positive	0	0
12	2022-10-11 22:00:20+00:00	BerkeleyElectr3	#TipTuesday – Are energy vampires lurking in your home? Many electronics like TVs, game consoles and coffee makers consume energy when they’re in standby mode. When you’re not using these devices, unplug them to eliminate energy waste. #PowerOn #BEC #EnergyTips	Positive	0	0
13	2022-10-11 17:15:16+00:00	nremc_electric	Looking for an easy way to save energy? These two laundry tips will help! #EnergyTips	Positive	0	0
