0	2022-09-09 18:45:14+00:00	Unitil	Whether you’ve just switched to natural gas or have had it for many years, practicing gas safety can help you avoid scalds or damaging your equipment and cause leaks. #SafetyPutsPeopleFirst #GasTips http	Positive
1	2022-08-23 22:01:02+00:00	ReliantCU	With high gas prices, it’s important to find ways to save your gas—and your money! Follow these tips to reduce the strain on your wallet! #savemoney #gastips #achievelife #reliantcu #ilovemycreditunion	Positive
2	2022-07-08 19:05:45+00:00	ToyotaCharlotte	Here are 3 mistakes people usually make when putting gas in their car. ✋❌ #summer #carcare #toyota #gastips #tipsandtricks	Positive
3	2022-07-05 21:24:30+00:00	RescueMe13	Want a simple money-saving tip? Next time you go fill up with gas use Gas Buddy. It shows you all the closest gas stations &amp; their current prices. Interesting right? Try it out to save some bucks &amp; let me know how it goes. #moneysavingstips #tuesdaytips #helpfultips #gastips	Positive
4	2022-06-22 09:27:14+00:00	CydeneHQ	So here is a safety tip for you, store your gas cylinders outside the house.  #Cydene #CydeneExpress #GasCylinder #GasExplosions #Kitchen #SafetyTips #GasTips #Didyouknow	Positive
5	2022-05-27 08:54:16+00:00	Haroti_gas	5 Safety Tips to follow When Using Gas Appliances  1-Pay attention to any odour 3. Double-Check to Ensure Gas Appliances Are Turned Off 4. Open Door or Windows 5. Get Your Gas Appliances Inspected regularly  Call us now! +265 990 970 075 / +265 885 234 789 #gastips #harotigas	Positive
6	2022-05-17 19:47:40+00:00	deliveryguysinc	It's recommended drivers roll down windows before opting for air conditioning, avoid the maximum auto air conditioning features vehicles have &amp; stop idling their cars in the warm months to cool them down before heading off.  #HelpfulTips #GasTips #FuelEconomy  #SaveMoney 2/2	Positive
7	2022-05-13 21:05:43+00:00	ontarioinjuries	A gas trip calculator is very helpful in determining your driving habits and helping you save gas. #CarTravel #GasTips #Canada http	Positive
8	2022-04-12 13:01:18+00:00	dandrcarcare2	⛽️Here's your weekly gas saving tip!   ⛽️ If the light turns on, it is for a reason, get it checked ASAP and save at the pump each week! 💰  #gastips #autorepairstatesboro #carcare #carmaintenance #statesboroga #customerservice #autorepairshop #dandrcarcare #dandr #gassavingtips	Positive
9	2022-03-31 13:01:51+00:00	dandrcarcare2	Rolling into the weekend with another. great ⛽️ #gassavingtip ⛽️ As the weather gets warmer, there's no need to warm up your car before you drive. Letting your vehicle idle for long periods of time wastes gas.  #gastips #autorepairstatesboro #carcare #carmaintenance #statesboroga	Positive
10	2022-03-28 16:46:36+00:00	SouthlandReg	Changing small driving habits can help you save on gas.  Here's some tips from NRCAN, Canada:  http  #gassavings #gastips #drivingtips #yyc	Positive
