0	2020-09-02 09:25:49+00:00	fesa_freiburg	Den Backofen vor dem Kuchenbacken mal nicht anmachen oder 5-10 Minuten vor der rezeptuellen Garzeit den Herd ausmachen spart Energie - und auch Geld 💪🔌💡🍲🍰 #EnergySavingTips #cooking #baking #nopreheat https://t.co/3ttOtYLHHB
1	2020-05-20 05:50:43+00:00	JAXenter	"Auf der IPC 2019 erklärt @ElectricMaxxx wie man den Energieverbrauch bei der Softwareentwicklung senken kann, um den ökologischen Fußabdruck zu verkleinern
https://t.co/QhVoHduDxT
#umwelt #umweltschutz #Klimaschutz #softwaredevelopment
#environment #energysavingtips #business https://t.co/byGETgmySc"
2	2017-05-14 12:42:37+00:00	Paketstrom	"Der Energiespartipp zum Sonntag. Jetzt clever Strom sparen.
#startup #paketstrom #energy #energysavingtips #innovation #energy https://t.co/LQuYcdsNjc"
0	2020-09-02 09:25:49+00:00	fesa_freiburg	Den Backofen vor dem Kuchenbacken mal nicht anmachen oder 5-10 Minuten vor der rezeptuellen Garzeit den Herd ausmachen spart Energie - und auch Geld 💪🔌💡🍲🍰 #EnergySavingTips #cooking #baking #nopreheat https://t.co/3ttOtYLHHB
1	2020-05-20 05:50:43+00:00	JAXenter	"Auf der IPC 2019 erklärt @ElectricMaxxx wie man den Energieverbrauch bei der Softwareentwicklung senken kann, um den ökologischen Fußabdruck zu verkleinern
https://t.co/QhVoHduDxT
#umwelt #umweltschutz #Klimaschutz #softwaredevelopment
#environment #energysavingtips #business https://t.co/byGETgmySc"
2	2017-05-14 12:42:37+00:00	Paketstrom	"Der Energiespartipp zum Sonntag. Jetzt clever Strom sparen.
#startup #paketstrom #energy #energysavingtips #innovation #energy https://t.co/LQuYcdsNjc"
0	2022-10-25 14:31:42+00:00	GreenerESNEFT	"Make sure to switch off all equipment at the end of the day or when not in use, this will save money and reduce unnecessary energy waste 🔌⚡️ 
#EnergySavingTips https://t.co/PHSWw5tT1A"
1	2022-10-25 12:37:44+00:00	Nordic_FC	"Want to save energy?⚡️ Here are some tips - part 1 of 3!😉
https://t.co/GBYl9rJbd8

#folkecenter #energysavings #energysavingtips #education #tips #energybills #energy https://t.co/c1Dm50de88"
2	2022-10-25 10:02:31+00:00	moneywisecu	"#MoneywiseEnergySavingTips

We know insulation preserves heat, but what about the forgotten areas?

Insulate your boiler and the areas between your floors and skirting boards for even more savings!

Follow for more #EnergySavingTips. https://t.co/qxfJWgMOtG"
3	2022-10-25 10:02:24+00:00	Nichecom	Some great tips for keeping your bills under control: https://t.co/g08rK3JYkI? #saveenergy #energysavingtips #propertyadvice
4	2022-10-25 08:28:04+00:00	STSStorage	"#Energyprices are a hot topic right now, and every #business is looking at ways to ensure their facilities’ power consumption is lowered; we’ve put together some tips for reducing #warehouseenergyconsumption 👉 https://t.co/T69xbL2A8u

#energysavingtips #warehouseenergysaving"
5	2022-10-25 06:01:06+00:00	AES_Empowering	Energy Saving Tips from “marginal gains” to “game-changers” - #23 Wind-solar hybrid https://t.co/ECMQAFyQNS #empoweringperformance #energyefficiency #energyconsumption #energysavingtips
6	2022-10-24 10:46:07+00:00	AllingtonHughes	"💚 Meet the Allington Hughes #GreenTeam! 💚

At Allington Hughes, we’re passionate about doing our bit for the environment. And this month, our Green Team advocates Kelly and Charlotte will be providing us with some timely #energysavingtips. https://t.co/lt5421QugW"
7	2022-10-24 08:01:39+00:00	AES_Empowering	Energy Saving Tips from “marginal gains” to “game-changers” - #22 Wind energy https://t.co/ECMQAFhfpi #empoweringperformance #energyefficiency #energyconsumption #energysavingtips
