0	2022-06-29 23:00:11+00:00	KCchohan_	This is how much the 'Eco Mode' button actually saves you on gas  See full article in the comments.  #EcoMode #SaveGas #Gastips	Neutral
1	2022-03-24 13:01:41+00:00	dandrcarcare2	⛽️ #gassavingtip ⛽️ Remove any unnecessary items in your car. Less weight = less usage of gas.  #gastips #autorepairstatesboro #carcare #carmaintenance #statesboroga #customerservice #autorepairshop #dandrcarcare #dandr #gassavingtips	Neutral
2	2022-03-15 19:06:45+00:00	TerryToll	See this Instagram photo by @ #gas #Trudeau #gasTips #Savegas	Neutral
3	2019-05-31 18:46:03+00:00	CarolinaCoFrame	Make the most out of your gas money on any road trip by taking a look at these handy tips: #gastips #carolinacollision	Neutral
4	2018-09-12 02:46:17+00:00	SanfordBelle33	The app is showing where you can find gas and diesel. Plus if the station has power. #FloTips #NCwxDurham #gastips #durhamnc #durm	Neutral
5	2018-07-18 20:10:40+00:00	PinkMama68	5 Money-Saving Driving Tips #gastips #drvingtips #savemoney	Neutral
6	2018-07-02 17:24:10+00:00	BrevardVMotors	Read our latest blog @ #MondayBlogs #RunningOnEmpty #GasTips	Neutral
7	2017-04-17 22:23:05+00:00	KSL5TV	reports on 5 gas tips you probably were not aware of, tonight at 10. #gastips	Neutral
8	2016-09-27 20:17:05+00:00	CCIQuotes	Car money saving tips on auto Insurance. http #savingtips #money #moneytips #gastips	Neutral
9	2016-07-09 00:01:51+00:00	multi_utilities	#Gastips Reputation System. Read Blog:	Neutral
10	2016-04-30 14:28:00+00:00	PinkMama68	Money Saving Gas Tips #cartips #gastips #savemoney	Neutral
11	2014-06-05 19:05:35+00:00	OrlandoHyundai	Keep your windows closed when driving on a highway, as that could reduce your gas mileage by as much as 10 percent. #GasTips #SaveMoney	Neutral
12	2014-06-02 20:01:02+00:00	OrlandoHyundai	Fill up your tank early on Wednesday or Thursday mornings – not over the weekend.  #GasTips #SaveMoney	Neutral
13	2014-02-19 00:04:50+00:00	Jdoughty21	Tulsa peeps, get gas tonight if you can still find it for $3.07. Most up to $3.16 last few hours. #gasbuddy #gastips	Neutral
14	2014-01-31 02:24:47+00:00	gofishbowl	4. Maintain vehicles properly Regular maintenance, tune-ups and prompt repair of major issues also can reduce fuel costs. #gastips	Neutral
15	2014-01-17 02:27:37+00:00	gofishbowl	5. Think twice about the upgrade: Whatever grade you choose, expect a slight mileage dip with gas containing ethanol. #gastips	Neutral
16	2013-06-18 23:31:27+00:00	MemberOne_FCU	For more #gastips check out the full article	Neutral
17	2013-06-18 17:02:35+00:00	MemberOne_FCU	Use your smartphone: Use the AAA Triptik or GasBuddy apps to find the cheapest gas in your area #gastips	Neutral
18	2013-06-18 13:33:35+00:00	MemberOne_FCU	It's summer, you know what that means. Driving season. So we have some tips to make those trips a little more affordable #gastips	Neutral
19	2013-04-24 20:10:42+00:00	GraysonHyundai	Gas Saving Tip: Reduce weight!  Learn more about this tip here: #gastips	Neutral
20	2013-04-09 12:43:02+00:00	Prototype_101	Message!!!~RT gas is down to $3.42  at Woodlawn &amp; Nations Crossing #Shell. #gastips	Neutral
21	2013-04-03 16:00:21+00:00	GraysonHyundai	Gas Saving Tip | Park in the Shade #gastips #hyundai	Neutral
22	2013-03-20 18:17:11+00:00	iehyundai	Gas prices seem to be constantly on the rise. Use these tips to find the cheapest prices in town! #gastips	Neutral
23	2013-03-20 18:16:10+00:00	iehyundai	Gas prices seem to be constantly on the rise. Use the tips to find the cheapest prices in town! #gastips	Neutral
24	2012-11-03 17:19:42+00:00	djdonnova	Had to drive 40 miles to get gas but I have a full tank. #gastips #sandy #njgas #gaswillmakeemdance #gasline	Neutral
25	2012-06-18 20:38:13+00:00	alexis52g	Gas is cheap today go full your car #GasTips #Informations #Lifestyle 1.24.4 $	Neutral
26	2012-06-16 21:55:12+00:00	AlohaGas	Driving at speeds over 60mph can significantly decrease fuel economy. #GasTips	Neutral
27	2012-05-15 01:20:04+00:00	AlohaGas	Not only is speeding unsafe, it’s also a gas-guzzler! Gas mileage typically decreases at speeds over 60mph. #GasTips	Neutral
28	2012-04-17 01:00:15+00:00	ZanchinAutoGrp	"Did you know operating the air conditioner on ""Max"" can reduce mpg by 5 – 25% compared to not using it. #gastips"	Neutral
29	2011-12-03 09:10:49+00:00	BEENPINPIN	Squueze butt cheeks on chair and force your fart out makes fart louder i just did it right now #gastips 	Neutral
30	2011-08-10 03:07:50+00:00	Yess_CHRISTINE	#GasTips Monique And Rodney On #TheMoniqueShow	Neutral
31	2011-06-06 04:57:41+00:00	rycath80	"""@OMGLifeHacks:Filling up at the gas station, and auto-hold on the pump not working?Use chapstick to prop up the latch"" #gastips"	Neutral
32	2011-03-14 14:41:51+00:00	Maximeallaire	30 Gas Saving Tips #gastips	Neutral
33	2011-03-03 22:01:29+00:00	TheRoyleKing	We Live watch #TheLullyRoyleKing #GasTips	Neutral
34	2011-03-03 21:58:54+00:00	TheRoyleKing	Almost Time... Turn To Channel 20 @ 5 #TheRoyleKing Got These #GasTips@news20at5	Neutral
35	2011-02-23 19:25:20+00:00	StuartHickox	Psst! Lybia pushes oil about $100. Time for the Fuel Campaign  #gastips	Neutral
