0	2022-10-25 11:17:05+00:00	Agimafr	"🇬🇧 Data Manipulation in Python: Master Python, Numpy &amp; Pandas
🔗https://t.co/dgoNLP0Uit
🆓 4 days or 526 registrations left
#pandas #developer #NumPy #data #Python #Udemy #100DaysOfCode #udemyfree #programming #udemycoupon #Dat https://t.co/d0F7iDIOyT"
1	2022-10-25 11:01:08+00:00	AdvAnalytAcad	"Es gibt noch freie Plätze für unseren Python-Kurs ab dem 7.11.22! 
Erlernen Sie mit uns die wesentlichen Python-Grundlagen für Data Science, Machine Learning und Künstliche Intelligenz. 👨‍🏫

https://t.co/uvNbSWMVO9

#machinelearning #künstlicheintelligenz #ki #python #scikitlearn https://t.co/6tgLaEp7IG"
2	2022-10-25 10:25:31+00:00	UCouponsMe	[100%OFF] Microsoft Power BI https://t.co/S0xAYJio0s #machinelearning #bigdata #analytics #datascience #ai #iot #iiot #python #tensorflow #javascript #reactjs #cloudcomputing #datascientist #linux #programming #coding #100daysofcode
3	2022-10-25 08:28:57+00:00	besuccesswisdom	🤩 RANDOM PASSWORD GENERATOR USING PYTHON 🤩 #python #shorts #pythonshorts https://t.co/c0DNAA1jyN
4	2022-10-25 08:02:48+00:00	GavLaaaaaaaa	NNStreamer: Neural Network for GStreamer (by Samsung) https://t.co/kmu1EIQdlH #programming #softwareengineering #bigdata #datascience #analytics #ai #python #javascript
5	2022-10-24 17:34:45+00:00	jkantel	Killer-Kürbisse? Wir schießen zurück! (Happy Halloween Stage 2) https://t.co/1hL9ZSXmB7 Ich hatte es mir vorgenommen mein kleines – in TigerJython (mit GameGrid) programmiertes – Halloween-Spiel fertigzustellen. #TigerJython #GameGrid #GameDev #Python #Halloween https://t.co/CfxdNZ7Yzv
6	2022-10-24 14:51:33+00:00	FatimaZ47650176	"Miles to km converter in Python
#100daysofcodingchallenge 
#Python https://t.co/BUJEtNGkHS"
7	2022-10-24 13:58:07+00:00	_Mr_Moe	"Ich finde unseren Tech Stack ja schon ganz cool:
QML für die GUI #Qt#QML
C++ für die Buisness Logic #C++
Python für die Tests und das Scripting #python 

Was würdet ihr für eine Anwendung auf der Hardware ändern?
Und würdet ihr euch bei uns im Team zure…https://t.co/HjQ6cWRgIv"
8	2022-10-24 11:27:17+00:00	besuccesswisdom	python program to find LCM – vs code #shorts #python https://t.co/Cfdov6X96T
9	2022-10-24 11:20:54+00:00	marustiweb	Programmiersprachen-Ranking: #JavaScript gewinnt das Rennen | #Developer https://t.co/vcL2HvqGVZ #Python #java #php
